rank,artist,album,track_name,energy,danceability,key,loudness,acousticness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,genre,duration_min_sec
1,The Weeknd,After Hours,Blinding Lights,0.73,0.514,1,-5.934,0.00146,0.0598,9.54e-05,0.0897,0.334,171.005,200040,R&B/Soul,03:20
2,Tones And I,Dance Monkey,Dance Monkey,0.593,0.825,6,-6.401,0.688,0.0988,0.000161,0.17,0.54,98.078,209755,Alternative/Indie,03:29
3,Roddy Ricch,Please Excuse Me For Being Antisocial,The Box,0.586,0.896,10,-6.687,0.104,0.0559,0.0,0.79,0.642,116.971,196653,Hip-Hop/Rap,03:16
4,SAINt JHN,Roses (Imanbek Remix),Roses - Imanbek Remix,0.721,0.785,8,-5.457,0.0149,0.0506,0.00432,0.285,0.894,121.962,176219,Dance/Electronic,02:56
5,Dua Lipa,Future Nostalgia,Don't Start Now,0.793,0.793,11,-4.521,0.0123,0.083,0.0,0.0951,0.679,123.95,183290,Nu-disco,03:03
6,DaBaby,BLAME IT ON BABY,ROCKSTAR (feat. Roddy Ricch),0.69,0.746,11,-7.956,0.247,0.164,0.0,0.101,0.497,89.977,181733,Hip-Hop/Rap,03:01
7,Harry Styles,Fine Line,Watermelon Sugar,0.816,0.548,0,-4.209,0.122,0.0465,0.0,0.335,0.557,95.39,174000,Pop,02:54
8,Powfu,death bed (coffee for your head),death bed (coffee for your head),0.431,0.726,8,-8.765,0.731,0.135,0.0,0.696,0.348,144.026,173333,Hip-Hop/Rap,02:53
9,Trevor Daniel,Nicotine,Falling,0.43,0.784,10,-8.756,0.123,0.0364,0.0,0.0887,0.236,127.087,159382,R&B/Hip-Hop alternative,02:39
10,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,0.405,0.501,1,-5.679,0.751,0.0319,0.0,0.105,0.446,109.891,182161,Alternative/Indie,03:02
11,KAROL G,Tusa,Tusa,0.715,0.803,2,-3.28,0.295,0.298,0.000134,0.0574,0.574,101.085,200960,Pop,03:20
12,Arizona Zervas,ROXANNE,ROXANNE,0.601,0.621,6,-5.616,0.0522,0.148,0.0,0.46,0.457,116.735,163636,Hip-Hop/Rap,02:43
13,Post Malone,Hollywood's Bleeding,Circles,0.762,0.695,0,-3.497,0.192,0.0395,0.00244,0.0863,0.553,120.042,215280,Pop/Soft Rock,03:35
14,Lil Mosey,Certified Hitmaker,Blueberry Faygo,0.554,0.774,0,-7.909,0.207,0.0383,0.0,0.132,0.349,99.034,162547,Hip-Hop/Rap,02:42
15,Justin Bieber,Changes,Intentions (feat. Quavo),0.546,0.806,9,-6.637,0.3,0.0575,0.0,0.102,0.874,147.986,212867,Pop,03:32
16,Drake,Dark Lane Demo Tapes,Toosie Slide,0.49,0.83,1,-8.82,0.289,0.209,3.04e-06,0.113,0.845,81.604,247059,Hip-Hop/Rap,04:07
17,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),Before You Go,0.575,0.459,3,-4.858,0.604,0.0573,0.0,0.0885,0.183,111.881,215107,Alternative/Indie,03:35
18,Doja Cat,Hot Pink,Say So,0.673,0.787,11,-4.577,0.256,0.158,3.57e-06,0.0904,0.786,110.962,237893,R&B/Soul,03:57
19,Maroon 5,Memories,Memories,0.32,0.764,11,-7.209,0.837,0.0546,0.0,0.0822,0.575,91.019,189486,Pop,03:09
20,Future,High Off Life,Life Is Good (feat. Drake),0.574,0.795,2,-6.903,0.067,0.487,0.0,0.15,0.537,142.053,237918,Hip-Hop/Rap,03:57
21,Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),0.481,0.767,0,-8.52,0.234,0.0803,0.0,0.269,0.761,150.076,171375,Hip-Hop/Rap,02:51
22,Harry Styles,Fine Line,Adore You,0.771,0.676,8,-3.675,0.0237,0.0483,7e-06,0.102,0.569,99.048,207133,Pop,03:27
23,Topic,Breaking Me,Breaking Me,0.72,0.789,8,-5.652,0.223,0.218,0.0,0.129,0.664,122.031,166794,Dance/Electronic,02:46
24,24kGoldn,Mood (feat. iann dior),Mood (feat. iann dior),0.722,0.7,7,-3.558,0.221,0.0369,0.0,0.272,0.756,90.989,140526,Pop rap,02:20
25,Billie Eilish,everything i wanted,everything i wanted,0.225,0.704,6,-14.454,0.902,0.0994,0.657,0.106,0.243,120.006,245426,Pop,04:05
26,Shawn Mendes,Shawn Mendes (Deluxe),Señorita,0.548,0.759,9,-6.049,0.0392,0.029,0.0,0.0828,0.749,116.967,190800,Pop,03:10
27,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,0.425,0.701,7,-10.965,0.328,0.375,0.13,0.1,0.562,135.128,194088, Electro-pop,03:14
28,Cardi B,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),0.454,0.935,1,-7.509,0.0194,0.375,0.0,0.0824,0.357,133.073,187541,Hip-Hop/Trap,03:07
29,Surfaces,Where the Light Is,Sunday Best,0.525,0.878,5,-6.832,0.183,0.0578,0.0,0.0714,0.694,112.022,158571, Electro-pop,02:38
30,Eminem,Music To Be Murdered By,Godzilla (feat. Juice WRLD),0.745,0.808,10,-5.26,0.145,0.342,0.0,0.292,0.829,165.995,210800,Hip-Hop/Rap,03:30
31,Justin Bieber,Changes,Yummy,0.506,0.676,9,-6.652,0.345,0.0958,0.0,0.118,0.497,145.842,208520,Pop,03:28
32,Dua Lipa,Future Nostalgia,Break My Heart,0.729,0.73,4,-3.434,0.167,0.0883,1.39e-06,0.349,0.467,113.013,221820,Dance-pop/Disco,03:41
33,BTS,Dynamite (DayTime Version),Dynamite,0.765,0.746,6,-4.41,0.0112,0.0993,0.0,0.0936,0.737,114.044,199054,Disco-pop,03:19
34,BENEE,Hey u x,Supalonely (feat. Gus Dapperton),0.631,0.862,7,-4.746,0.291,0.0515,0.000209,0.123,0.841,128.978,223488,Alternative/Indie,03:43
35,Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),0.774,0.674,11,-7.567,0.0686,0.0892,0.00188,0.393,0.33,112.05,176547,Dance/Electronic,02:56
36,Lady Gaga,Chromatica,Rain On Me (with Ariana Grande),0.855,0.672,9,-3.764,0.021,0.0397,0.0,0.323,0.646,123.056,182200,Pop,03:02
